evolution_method,mutation,crossover,batch_type,batch_offset_type,sub_gen_type,magic,magic_normalized,qsar,qsar_normalized,gass,gass_normalized,mnist,mnist_normalized
SHADE,degl,bin,low,high,mid,0.7244079999999999,0.7817104,0.74125,0.7425,0.9318888,0.7938888000000001,0.69316,0.77804
SHADE,degl,interm,low,high,mid,0.7104606,0.7582238,0.75125,0.67125,0.7592224,0.4427778,0.40178,0.4147
L-SHADE,rand/1,bin,low,high,mid,0.7125001999999999,0.7825,0.73125,0.725,0.802,0.5911112,0.62658,0.75592
L-SHADE,rand/1,interm,low,high,mid,0.7183554,0.7866446,0.7625,0.74,0.7885554,0.6774444000000001,0.8588600000000001,0.86436
L-SHADE,curr_p_best,bin,low,high,mid,0.7163158000000001,0.784013,0.75625,0.71625,0.9345556,0.7381112,0.78042,0.77752
L-SHADE,curr_p_best,interm,low,high,mid,0.7200658000000001,0.7841448000000001,0.755,0.77875,0.9362222,0.765778,0.8321,0.8185399999999999
L-SHADE,degl,bin,low,high,mid,0.715329,0.7816446,0.745,0.76,0.9306666,0.7494446,0.65698,0.7518
L-SHADE,degl,interm,low,high,mid,0.7124998,0.757171,0.76,0.69125,0.7275556,0.4216664000000001,0.43328,0.39034
JDE,rand/1,bin,low,high,low,0.7130264000000001,0.7833551999999999,0.71,0.71125,0.7435554,0.5697778,0.64382,0.69712
JDE,rand/1,interm,low,high,low,0.720395,0.7842762,0.74,0.74625,0.7728888,0.7204444000000001,0.8821200000000001,0.8968200000000001
JDE,curr_p_best,bin,low,high,low,0.7154606,0.7844736,0.715,0.71625,0.8485556000000001,0.7287778,0.85582,0.8928200000000001
JDE,curr_p_best,interm,low,high,low,0.7193421999999999,0.7836181999999999,0.76375,0.735,0.9052222,0.7424446,0.8651,0.8897
JDE,degl,bin,low,high,low,0.7180264000000001,0.7824344,0.76125,0.73375,0.9317778,0.7801111999999999,0.82376,0.84054
JDE,degl,interm,low,high,low,0.7211181999999999,0.78375,0.73375,0.73375,0.8872222,0.7226666,0.7859999999999999,0.8215
JADE,rand/1,bin,low,high,low,0.7158551999999999,0.7839476,0.705,0.69375,0.8064446,0.5664446,0.40812,0.4548
JADE,rand/1,interm,low,high,low,0.7207238,0.7835525999999999,0.7425,0.75,0.7611108,0.6595554,0.87698,0.88244
JADE,curr_p_best,bin,low,high,low,0.716184,0.7840132,0.75625,0.73875,0.928889,0.736889,0.85144,0.84416
JADE,curr_p_best,interm,low,high,low,0.72125,0.7859868,0.7525,0.75125,0.9075554,0.743222,0.86254,0.8599600000000001
JADE,degl,bin,low,high,low,0.7329604000000001,0.7823026,0.78,0.755,0.9384444,0.8152222,0.74864,0.79924
JADE,degl,interm,low,high,low,0.715592,0.7621711999999999,0.79125,0.715,0.7282224,0.4176666,0.4673600000000001,0.43668
SHADE,rand/1,bin,low,high,low,0.713026,0.7852631999999999,0.71875,0.69375,0.7725556,0.5497778,0.4444,0.77408
SHADE,rand/1,interm,low,high,low,0.7194734,0.7820394,0.76875,0.7525,0.770333,0.6563334,0.87776,0.88256
SHADE,curr_p_best,bin,low,high,low,0.7176975999999999,0.7860526,0.75,0.72,0.9244442,0.7311112,0.85046,0.83188
SHADE,curr_p_best,interm,low,high,low,0.7215132,0.78375,0.7575,0.75125,0.9372224,0.7706666,0.86418,0.8589600000000001
SHADE,degl,bin,low,high,low,0.7193421999999999,0.7813814,0.75125,0.77375,0.9471112,0.8049998,0.7608600000000001,0.7879
